,synchronicity_centrality,synchronicity_density,synchronicity_group_size,synchronicity_score,metronome_centrality,metronome_density,metronome_group_size,metronome_score,shares_centrality,shares_density,shares_group_size,shares_score,misinfo_centrality,misinfo_density,misinfo_group_size,misinfo_score,viral_centrality,viral_density,viral_group_size,viral_score,content_uniqueness_centrality,content_uniqueness_density,content_uniqueness_group_size,content_uniqueness_score,network_diversity_centrality,network_diversity_density,network_diversity_group_size,network_diversity_score,content_originality_centrality,content_originality_density,content_originality_group_size,content_originality_score,Archetype_ID
9794a13f91433216821ad18624372498,0.0,0.0,0,0.0,0.01062573789846517,0.14762471975185912,819,2.5954650870352736,0.10784313725490197,0.1025042163525922,662,3.0965624383741357,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.023616734143049933,0.03361344537815126,0.05073736366148241,654,0.42857142857142855,0.014184397163120567,1.0,3,0.22727272727272727,3
a551d0da19e17fc58d1731eff4af2076,0.0,0.0,0,0.0,0.2243211334120425,0.14762471975185912,819,1.4539656230549212,0.12044817927170869,0.1025042163525922,662,2.294466226161593,0.08719346049046321,0.11752508361204013,300,2.2013971243204513,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.06722689075630252,0.05073736366148241,654,0.1958762886597938,0.0,0.0,0,0.0,1
5815204ae45113068ccfd5669abf86d1,0.0,0.0,0,0.0,0.269185360094451,0.14762471975185912,819,1.4279048227531106,0.028011204481792718,1.0,21,0.3010299956639812,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07282913165266107,1.0,53,1.0,0.0,0.0,0,0.0,0
769d3d12131214b09fde46cfc0d650c8,0.0,0.0,0,0.0,0.20070838252656434,0.14762471975185912,819,1.2945381083136307,0.02100840336134454,0.1025042163525922,662,1.3010299956639813,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.04201680672268908,0.05073736366148241,654,0.4166666666666667,0.0,0.0,0,0.0,2
4330d82b66a6ac3f87e1cf54e44a1952,0.0,0.0,0,0.0,0.19952774498229042,0.14762471975185912,819,1.239419814400483,0.05182072829131653,0.1025042163525922,662,1.845098040014257,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.04341736694677871,0.05073736366148241,654,0.30434782608695654,0.0,0.0,0,0.0,2
5743e48fd70018c7fda32df0570ea2f0,0.0,0.0,0,0.0,0.20070838252656434,0.14762471975185912,819,1.3611412080167054,0.023809523809523808,0.1025042163525922,662,1.4913616938342726,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.04481792717086835,0.05073736366148241,654,0.32,0.0,0.0,0,0.0,2
43e50b19985895a865eeaa2f046eb328,0.0,0.0,0,0.0,0.19716646989374262,0.14762471975185912,819,1.2372994961496744,0.01680672268907563,1.0,13,0.47712125471966244,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07282913165266107,1.0,53,1.0,0.0,0.0,0,0.0,0
cf6f47b62cc9ff9330d3265ec4102766,0.0,0.0,0,0.0,0.1770956316410862,0.14762471975185912,819,1.2257378372576087,0.05182072829131653,0.1025042163525922,662,1.8512583487190752,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.006564551422319475,1.0,4,0.0759493670886076,0.03081232492997199,0.05073736366148241,654,0.6818181818181818,0.0,0.0,0,0.0,2
4d77890a4c25049f7a8a730eab459e82,0.01838235294117647,0.7333333333333333,6,13.862943611198906,0.08382526564344746,0.14762471975185912,819,1.5288995346025167,0.11624649859943978,0.1025042163525922,662,3.088844562727004,0.08991825613079019,0.11752508361204013,300,2.432969290874406,0.0,0.0,0,0.0,0.0,0.0,1,0.022644265887509132,0.02661064425770308,0.05073736366148241,654,0.10264900662251655,0.0,0.0,0,0.0,1
0b092cd98ef0633287ff7b1399f0bdd3,0.0,0.0,0,0.0,0.20779220779220778,0.14762471975185912,819,1.3705282394672524,0.03361344537815126,0.1025042163525922,662,1.662757831681574,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.02661064425770308,0.05073736366148241,654,0.4857142857142857,0.0,0.0,0,0.0,2
acfaa1146fc272f9f673b1ac64711be8,0.0,0.0,0,0.0,0.26564344746162927,0.14762471975185912,819,1.4158327963541966,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
483338a6441c94f1c2eed5fa76cf3563,0.0,0.0,0,0.0,0.0448642266824085,0.14762471975185912,819,1.7961520844468848,0.08543417366946779,0.1025042163525922,662,3.2898118391176214,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0262582056892779,1.0,13,0.004413928396272682,0.08403361344537816,0.05073736366148241,654,0.2336448598130841,0.014184397163120567,1.0,3,0.36,3
910e75ada2a66e43efa8c00eb8fff732,0.0,0.0,0,0.0,0.24439197166469892,0.14762471975185912,819,1.3859822599774174,0.036414565826330535,0.1025042163525922,662,1.6127838567197355,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00437636761487965,1.0,3,0.09230769230769231,0.03361344537815126,0.05073736366148241,654,0.42857142857142855,0.0,0.0,0,0.0,2
66b9f23ab6ebb7c38661d821434ed911,0.0,0.0,0,0.0,0.20188902007083825,0.14762471975185912,819,1.2470740975147467,0.1568627450980392,0.1025042163525922,662,2.525044807036845,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.020527859237536656,0.08543417366946779,0.05073736366148241,654,0.23214285714285715,0.0,0.0,0,0.0,2
8e72a8fbc76263914ed485ab068396fd,0.34191176470588236,1.0,94,0.6931471805599453,0.04132231404958678,0.14762471975185912,819,2.148237064705314,0.11624649859943978,0.1025042163525922,662,2.935003151453655,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0546218487394958,0.05073736366148241,654,0.1527777777777778,0.0,0.0,0,0.0,4
fa88656e8ca893efc562e3f09b8cf90e,0.34191176470588236,1.0,94,0.6931471805599453,0.0909090909090909,0.14762471975185912,819,1.68955189893446,0.14565826330532214,0.1025042163525922,662,2.4409090820652177,0.08446866485013624,0.11752508361204013,300,1.6127838567197355,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.024305555555555556,0.05322128851540616,0.05073736366148241,654,0.14814814814814814,0.0,0.0,0,0.0,4
f535691fe7bda31861d18c5e41db86ec,0.0,0.0,0,0.0,0.25029515938606844,0.14762471975185912,819,1.4410246216858391,0.12745098039215685,0.1025042163525922,662,2.7895807121644256,0.0326975476839237,0.11752508361204013,300,1.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.06158357771260997,0.06442577030812326,0.05073736366148241,654,0.24561403508771928,0.0,0.0,0,0.0,1
e5b1c906b81e40e5bcb9bb9527e1f1a2,0.0,0.0,0,0.0,0.015348288075560802,0.14762471975185912,819,2.829569058438943,0.06442577030812326,0.1025042163525922,662,1.9731278535996986,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.01680672268907563,0.05073736366148241,654,0.47368421052631576,0.0,0.0,0,0.0,2
5d41c1cf15605efee3451f1fac3b7c68,0.0,0.0,0,0.0,0.0909090909090909,0.14762471975185912,819,1.61126304178927,0.08683473389355742,0.1025042163525922,662,2.0755469613925306,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.02158273381294964,0.07282913165266107,1.0,53,1.0,0.02127659574468085,1.0,4,0.42857142857142855,3
d69c35f9b0b371321cf7a1d8bce06426,0.0,0.0,0,0.0,0.19716646989374262,0.14762471975185912,819,1.2365438608089427,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.012345679012345678,0.0,0.0,0,0.0,0.014184397163120567,1.0,3,0.1111111111111111,0
47dc8971fa63c3cf9076576cba50b199,0.0,0.0,0,0.0,0.23730814639905548,0.14762471975185912,819,1.3846184275232503,0.0070028011204481795,1.0,6,0.6020599913279624,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.023809523809523808,0.05073736366148241,654,0.5,0.0,0.0,0,0.0,0
ffd53d8e41be8ec794ddeee5464e3a71,0.0,0.0,0,0.0,0.10861865407319952,0.14762471975185912,819,1.1361905141378301,0.025210084033613446,0.1025042163525922,662,1.505149978319906,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.046218487394957986,0.05073736366148241,654,0.4090909090909091,0.0,0.0,0,0.0,2
888f3c8f3f2704a93cc913b4512919a2,0.0,0.0,0,0.0,0.20070838252656434,0.14762471975185912,819,1.461595257001252,0.12745098039215685,0.1025042163525922,662,2.821513528404773,0.17166212534059944,0.11752508361204013,300,1.8573324964312685,0.0,0.0,0,0.0,0.002188183807439825,1.0,2,0.05293276108726753,0.046218487394957986,0.05073736366148241,654,0.1347305389221557,0.0,0.0,0,0.0,1
c3725898c61e009376a1dc3caecb5a54,0.0,0.0,0,0.0,0.09208972845336481,0.14762471975185912,819,1.6225499587262606,0.03221288515406163,0.1025042163525922,662,1.6020599913279623,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.028011204481792718,0.05073736366148241,654,0.5833333333333334,0.0,0.0,0,0.0,2
2170ac10d291a3bbf7ce42e538077f51,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.12044817927170869,0.1025042163525922,662,2.3364597338485296,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0262582056892779,1.0,13,0.0044444444444444444,0.022408963585434174,0.05073736366148241,654,0.5555555555555556,0.05673758865248227,1.0,9,0.3333333333333333,3
27f5833380581fab3453c1acd26427d5,0.01838235294117647,1.0,6,2.772588722239781,0.03778040141676505,0.14762471975185912,819,1.9670611027709461,0.1288515406162465,0.1025042163525922,662,2.8494194137968996,0.0326975476839237,1.0,13,0.8450980400142568,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.05182072829131653,0.05073736366148241,654,0.18285714285714286,0.0,0.0,0,0.0,2
9d3251b83dc155cca5ce4451a2d7e8e3,0.0,0.0,0,0.0,0.24793388429752064,0.14762471975185912,819,1.3868661404572966,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
