,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_centrality,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_density,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_group_size,synchronicity_score,synchronicity_score,synchronicity_score,synchronicity_score,synchronicity_score,synchronicity_score,synchronicity_score,synchronicity_score,metronome_centrality,metronome_centrality,metronome_centrality,metronome_centrality,metronome_centrality,metronome_centrality,metronome_centrality,metronome_centrality,metronome_density,metronome_density,metronome_density,metronome_density,metronome_density,metronome_density,metronome_density,metronome_density,metronome_group_size,metronome_group_size,metronome_group_size,metronome_group_size,metronome_group_size,metronome_group_size,metronome_group_size,metronome_group_size,metronome_score,metronome_score,metronome_score,metronome_score,metronome_score,metronome_score,metronome_score,metronome_score,shares_centrality,shares_centrality,shares_centrality,shares_centrality,shares_centrality,shares_centrality,shares_centrality,shares_centrality,shares_density,shares_density,shares_density,shares_density,shares_density,shares_density,shares_density,shares_density,shares_group_size,shares_group_size,shares_group_size,shares_group_size,shares_group_size,shares_group_size,shares_group_size,shares_group_size,shares_score,shares_score,shares_score,shares_score,shares_score,shares_score,shares_score,shares_score,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_centrality,misinfo_density,misinfo_density,misinfo_density,misinfo_density,misinfo_density,misinfo_density,misinfo_density,misinfo_density,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_group_size,misinfo_score,misinfo_score,misinfo_score,misinfo_score,misinfo_score,misinfo_score,misinfo_score,misinfo_score,viral_centrality,viral_centrality,viral_centrality,viral_centrality,viral_centrality,viral_centrality,viral_centrality,viral_centrality,viral_density,viral_density,viral_density,viral_density,viral_density,viral_density,viral_density,viral_density,viral_group_size,viral_group_size,viral_group_size,viral_group_size,viral_group_size,viral_group_size,viral_group_size,viral_group_size,viral_score,viral_score,viral_score,viral_score,viral_score,viral_score,viral_score,viral_score,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_centrality,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_density,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_group_size,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,content_uniqueness_score,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_centrality,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_density,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_group_size,network_diversity_score,network_diversity_score,network_diversity_score,network_diversity_score,network_diversity_score,network_diversity_score,network_diversity_score,network_diversity_score,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_centrality,content_originality_density,content_originality_density,content_originality_density,content_originality_density,content_originality_density,content_originality_density,content_originality_density,content_originality_density,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_group_size,content_originality_score,content_originality_score,content_originality_score,content_originality_score,content_originality_score,content_originality_score,content_originality_score,content_originality_score
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Archetype_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,223.0,0.003066473226061725,0.03230697238389749,0.0,0.0,0.0,0.0,0.34191176470588236,223.0,0.008968609865470852,0.09448920955290449,0.0,0.0,0.0,0.0,1.0,223.0,0.8430493273542601,8.881985697973022,0.0,0.0,0.0,0.0,94.0,223.0,0.006216566641793231,0.06549492919493359,0.0,0.0,0.0,0.0,0.6931471805599453,223.0,0.20147606164728052,0.05595414061560447,0.009445100354191263,0.19716646989374262,0.20425029515938606,0.24616292798110978,0.2715466351829988,223.0,0.14841613657780045,0.01181837349644161,0.14762471975185912,0.14762471975185912,0.14762471975185912,0.14762471975185912,0.3241106719367589,223.0,815.4304932735427,53.30410260252103,23.0,819.0,819.0,819.0,819.0,223.0,1.3444663327692092,0.13045700556701564,0.7441083958501823,1.2609572391895605,1.3773021008101451,1.4293258010502274,1.627008587634402,223.0,0.003925336950923868,0.008690409510642332,0.0,0.0,0.0,0.0,0.028011204481792718,223.0,0.21168165216459725,0.40840593243159595,0.0,0.0,0.0,0.0,1.0,223.0,8.865470852017937,62.611988465985384,0.0,0.0,0.0,0.0,662.0,223.0,0.10988620893834213,0.23437661926836217,0.0,0.0,0.0,0.0,1.4471580313422192,223.0,0.0005254090248164123,0.0035682374475665517,0.0,0.0,0.0,0.0,0.02997275204359673,223.0,0.02242152466367713,0.1483830624710771,0.0,0.0,0.0,0.0,1.0,223.0,0.21524663677130046,1.4545179094140457,0.0,0.0,0.0,0.0,12.0,223.0,0.008889108668338872,0.06167180920842085,0.0,0.0,0.0,0.0,0.6020599913279624,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.00018643718538724965,0.0015076093156052893,0.0,0.0,0.0,0.0,0.0175054704595186,223.0,0.017937219730941704,0.1330218962040188,0.0,0.0,0.0,0.0,1.0,223.0,0.1031390134529148,0.8127026502388978,0.0,0.0,0.0,0.0,9.0,223.0,0.0006674406744194034,0.005877174912864151,0.0,0.0,0.0,0.0,0.06666666666666667,223.0,0.01435103189257766,0.02833353466281165,0.0,0.0,0.0,0.0,0.07282913165266107,223.0,0.1854491549131407,0.38758166939755867,0.0,0.0,0.0,0.0,1.0,223.0,30.278026905829595,114.38721898166611,0.0,0.0,0.0,0.0,654.0,223.0,0.20587036282103546,0.3957204284743229,0.0,0.0,0.0,0.0,1.0,223.0,0.0006042680405813695,0.004792730852915259,0.0,0.0,0.0,0.0,0.05673758865248227,223.0,0.02242152466367713,0.14838306247107708,0.0,0.0,0.0,0.0,1.0,223.0,0.11210762331838565,0.80593884991759,0.0,0.0,0.0,0.0,9.0,223.0,0.007470248432886708,0.048158750577968035,0.0,0.0,0.0,0.0,0.43137254901960786
1,221.0,0.023672478040990153,0.03986310947926784,0.0,0.0,0.0,0.025735294117647058,0.1323529411764706,221.0,0.37065329902700145,0.4571558487167413,0.0,0.0,0.0,1.0,1.0,221.0,7.117647058823529,11.24579541155283,0.0,0.0,0.0,10.0,37.0,221.0,2.437270483105425,5.0099737707532315,0.0,0.0,0.0,3.295836866004329,40.89568365303677,221.0,0.11537660200761804,0.08276468085012086,0.0,0.03896103896103896,0.09327036599763872,0.20070838252656434,0.2715466351829988,221.0,0.15413854600375476,0.06454347286433335,0.0,0.14762471975185912,0.14762471975185912,0.14762471975185912,1.0,221.0,789.8823529411765,150.60059973888295,0.0,819.0,819.0,819.0,819.0,221.0,1.5231091873940887,0.5483447510182189,0.0,1.2379585280072443,1.4219588398969416,1.7101807360213468,4.71439515505066,221.0,0.10548563316729405,0.04110545326403282,0.00980392156862745,0.0742296918767507,0.11764705882352941,0.12745098039215685,0.16806722689075632,221.0,0.10250421635259221,1.39092924744833e-17,0.1025042163525922,0.1025042163525922,0.1025042163525922,0.1025042163525922,0.1025042163525922,221.0,662.0,0.0,662.0,662.0,662.0,662.0,662.0,221.0,2.682699056310301,0.582812338373622,1.1139433523068367,2.311753861055754,2.6522463410033232,3.0580462303952816,4.420384876960408,221.0,0.0960952815416672,0.04904193443235881,0.024523160762942777,0.051771117166212535,0.08991825613079019,0.12261580381471389,0.1880108991825613,221.0,0.11752508361204012,1.39092924744833e-17,0.11752508361204013,0.11752508361204013,0.11752508361204013,0.11752508361204013,0.11752508361204013,221.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,221.0,1.8386853479295113,0.43626309136658353,0.9542425094393249,1.5563025007672873,1.8808135922807914,2.173186268412274,2.803457115648414,221.0,0.0011312217194570137,0.01681681984990781,0.0,0.0,0.0,0.0,0.25,221.0,0.004524886877828055,0.06726727939963124,0.0,0.0,0.0,0.0,1.0,221.0,0.01809954751131222,0.269069117598525,0.0,0.0,0.0,0.0,4.0,221.0,0.019835050188798525,0.2948692197131918,0.0,0.0,0.0,0.0,4.383546091724474,221.0,0.0063566244541917085,0.0071895991975756334,0.0,0.0,0.00437636761487965,0.010940919037199124,0.0350109409190372,221.0,0.6334841628959276,0.48294653004697086,0.0,0.0,1.0,1.0,1.0,221.0,3.570135746606335,3.601870029409977,0.0,0.0,3.0,6.0,17.0,221.0,0.033058740899788025,0.03172081884817375,0.0,0.0,0.028513238289205704,0.061764705882352944,0.09647495361781076,221.0,0.044501058341888784,0.019389883153139668,0.0,0.03221288515406163,0.046218487394957986,0.0546218487394958,0.09103641456582633,221.0,0.07152515140224323,0.12093798947511898,0.0,0.05073736366148241,0.05073736366148241,0.05073736366148241,1.0,221.0,630.4570135746607,121.7567403702406,0.0,654.0,654.0,654.0,654.0,221.0,0.19551423607902738,0.11009133752098028,0.0,0.12460063897763578,0.16666666666666666,0.2361111111111111,0.7333333333333333,221.0,6.418279259330573e-05,0.0006731478536067749,0.0,0.0,0.0,0.0,0.0070921985815602835,221.0,0.00904977375565611,0.09491384735855526,0.0,0.0,0.0,0.0,1.0,221.0,0.03167420814479638,0.22134178161002935,0.0,0.0,0.0,0.0,2.0,221.0,0.005051714816340821,0.03479958583763397,0.0,0.0,0.0,0.0,0.28
2,223.0,0.008292666842521761,0.024020221036596033,0.0,0.0,0.0,0.0,0.1323529411764706,223.0,0.1393320855995612,0.3331343124785367,0.0,0.0,0.0,0.0,1.0,223.0,2.5112107623318387,6.970892498177326,0.0,0.0,0.0,0.0,37.0,223.0,0.8932522739779153,3.570049123209946,0.0,0.0,0.0,0.0,44.75593342827221,223.0,0.12351692335385771,0.09060297317397209,0.0,0.034238488783943324,0.10979929161747343,0.20306965761511214,0.2715466351829988,223.0,0.13911845410381235,0.06342705953381476,0.0,0.14762471975185912,0.14762471975185912,0.14762471975185912,0.3241106719367589,223.0,684.2466367713005,302.8410774244054,0.0,819.0,819.0,819.0,819.0,223.0,1.203467625133984,0.5693079863888016,0.0,1.1155764250057223,1.2575099838894246,1.4370650826857838,3.4151600863116056,223.0,0.08000778786851062,0.049115631907161166,0.004201680672268907,0.03221288515406163,0.08683473389355742,0.12324929971988796,0.16666666666666666,223.0,0.10652886112231152,0.06010076298601939,0.1025042163525922,0.1025042163525922,0.1025042163525922,0.1025042163525922,1.0,223.0,659.0493273542601,44.06293908600356,4.0,662.0,662.0,662.0,662.0,223.0,2.1077694481418665,0.6430832873282896,0.7781512503836436,1.6674278448086457,2.110589710299249,2.487839952953207,4.413433888381856,223.0,0.004007771166041471,0.009816831180736812,0.0,0.0,0.0,0.0,0.0326975476839237,223.0,0.15695067264573992,0.36457260215289977,0.0,0.0,0.0,0.0,1.0,223.0,1.6278026905829597,3.9502010573293678,0.0,0.0,0.0,0.0,13.0,223.0,0.10614580795660483,0.25633818102862044,0.0,0.0,0.0,0.0,0.9030899869919435,223.0,0.004110612855007473,0.04760840558404943,0.0,0.0,0.0,0.0,0.6666666666666666,223.0,0.008968609865470852,0.0944892095529045,0.0,0.0,0.0,0.0,1.0,223.0,0.05829596412556054,0.6584247939650835,0.0,0.0,0.0,0.0,9.0,223.0,0.03796464599100627,0.40023326955173094,0.0,0.0,0.0,0.0,4.383546091724474,223.0,0.005583303078176056,0.007285795341502092,0.0,0.0,0.002188183807439825,0.010940919037199124,0.0350109409190372,223.0,0.5067264573991032,0.5010795117440402,0.0,0.0,1.0,1.0,1.0,223.0,3.0672645739910314,3.7174963914812724,0.0,0.0,2.0,6.0,17.0,223.0,0.020641104320541403,0.027795655954755152,0.0,0.0,0.0035714285714285713,0.03574205732059542,0.09803921568627451,223.0,0.046067754456042505,0.01982372733356657,0.012605042016806723,0.03221288515406163,0.04201680672268908,0.05812324929971989,0.0938375350140056,223.0,0.050737363661482404,6.954504483601057e-18,0.05073736366148241,0.05073736366148241,0.05073736366148241,0.05073736366148241,0.05073736366148241,223.0,654.0,0.0,654.0,654.0,654.0,654.0,654.0,223.0,0.3422893925964783,0.16478688713560224,0.10869565217391304,0.21944101470423166,0.3023255813953488,0.42857142857142855,0.8,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.013452914798206279,0.11546305628897846,0.0,0.0,0.0,0.0,1.0,223.0,0.0042008813309261745,0.03865189052171218,0.0,0.0,0.0,0.0,0.4
3,131.0,0.04420184104176022,0.09361928120421288,0.0,0.0,0.0,0.03125,0.34191176470588236,131.0,0.36806223761769336,0.46819130026885825,0.0,0.0,0.0,1.0,1.0,131.0,12.709923664122137,25.73010465153112,0.0,0.0,0.0,12.0,94.0,131.0,1.9339065273305052,4.880279994836786,0.0,0.0,0.0,2.0794415416798357,42.81002327921689,131.0,0.0742630027848626,0.07876418164496579,0.0,0.015938606847697757,0.03896103896103896,0.09917355371900825,0.2703659976387249,131.0,0.1358896951719253,0.05410136989972088,0.0,0.14762471975185912,0.14762471975185912,0.14762471975185912,0.3241106719367589,131.0,713.2671755725191,274.8717973732336,0.0,819.0,819.0,819.0,819.0,131.0,1.7477454674807231,0.964639532648516,0.0,1.2847855367438283,1.673921749184187,2.161925148508887,6.963862734349651,131.0,0.08596873864049437,0.0510836006127887,0.0,0.03361344537815126,0.09803921568627451,0.12464985994397759,0.16526610644257703,131.0,0.12599629309172708,0.15694767192144532,0.0,0.1025042163525922,0.1025042163525922,0.1025042163525922,1.0,131.0,616.7480916030535,167.25592290358512,0.0,662.0,662.0,662.0,662.0,131.0,2.882669666868925,1.0584918306208304,0.0,2.445593044484764,2.931457870689005,3.3999492847114343,6.2112492613812105,131.0,0.022463964057657507,0.04273152636469495,0.0,0.0,0.0,0.0326975476839237,0.1880108991825613,131.0,0.113575021062575,0.27408581482599476,0.0,0.0,0.0,0.11752508361204013,1.0,131.0,76.55725190839695,130.19944229499743,0.0,0.0,0.0,156.5,300.0,131.0,0.5738447903358069,0.9258865004744193,0.0,0.0,0.0,0.8996702747267908,2.8756399370041685,131.0,0.039440203562340966,0.15272742754128033,0.0,0.0,0.0,0.0,0.6666666666666666,131.0,0.06870229007633588,0.2539182089588477,0.0,0.0,0.0,0.0,1.0,131.0,0.5419847328244275,2.07645979043746,0.0,0.0,0.0,0.0,9.0,131.0,0.28507696132319393,1.0541360764251688,0.0,0.0,0.0,0.0,4.383546091724474,131.0,0.021764912222092307,0.01273698509360197,0.0,0.010940919037199124,0.0175054704595186,0.0350109409190372,0.03938730853391685,131.0,0.9923664122137404,0.08737040566610378,0.0,1.0,1.0,1.0,1.0,131.0,10.938931297709924,5.834586169743897,0.0,6.0,9.0,17.0,19.0,131.0,0.01605664819774004,0.021653359565610947,0.0,0.0014672692979759865,0.0069767441860465115,0.023002396922271233,0.09836065573770492,131.0,0.04467894027840144,0.02344992200939621,0.0,0.028011204481792718,0.04061624649859944,0.06932773109243698,0.09523809523809523,131.0,0.1361434871837441,0.2755128194109113,0.0,0.05073736366148241,0.05073736366148241,0.05073736366148241,1.0,131.0,578.9770992366413,202.06531562644082,0.0,654.0,654.0,654.0,654.0,131.0,0.43224027281395333,0.2750103244591349,0.0,0.22497225305216428,0.35714285714285715,0.6132478632478633,1.0,131.0,0.02490390341616588,0.01547251061789986,0.0,0.014184397163120567,0.02127659574468085,0.035460992907801414,0.05673758865248227,131.0,0.9541984732824428,0.20985692634772088,0.0,1.0,1.0,1.0,1.0,131.0,4.465648854961832,2.264433058350076,0.0,3.0,4.0,6.0,9.0,131.0,0.26728784638929937,0.159545501396922,0.0,0.125,0.2857142857142857,0.4170166049128585,0.4936708860759494
4,96.0,0.3100873161764705,0.07768597620420503,0.09191176470588235,0.34191176470588236,0.34191176470588236,0.34191176470588236,0.34191176470588236,96.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,96.0,85.34375,21.130585527543765,26.0,94.0,94.0,94.0,94.0,96.0,0.8871502316663916,0.48896158888720204,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.1972245773362196,96.0,0.09646792601338054,0.08326526891088291,0.0,0.02331759149940968,0.08913813459268005,0.19421487603305784,0.2703659976387249,96.0,0.14971675494756712,0.10228493744681959,0.0,0.14762471975185912,0.14762471975185912,0.14762471975185912,1.0,96.0,717.375,270.30848848559754,0.0,819.0,819.0,819.0,819.0,96.0,1.4831030049335385,0.7869274806095857,0.0,1.1247177149443535,1.3679345934713119,1.7135263073550016,4.590223849817136,96.0,0.10857259570494865,0.0394325311815738,0.004201680672268907,0.08403361344537816,0.1169467787114846,0.13445378151260504,0.16526610644257703,96.0,0.11185313076558605,0.09160027984314482,0.1025042163525922,0.1025042163525922,0.1025042163525922,0.1025042163525922,1.0,96.0,655.1458333333334,67.15684378130547,4.0,662.0,662.0,662.0,662.0,96.0,2.590612903423309,0.5577388976497704,0.8450980400142568,2.2621302325004127,2.574017369859561,2.8957376050472563,4.103974669386388,96.0,0.05543256130790191,0.06148096500179609,0.0,0.0,0.0326975476839237,0.09128065395095367,0.18528610354223432,96.0,0.23339743589743586,0.36136903177212953,0.0,0.0,0.11752508361204013,0.11752508361204013,1.0,96.0,145.66666666666666,148.85935903371956,0.0,0.0,13.0,300.0,300.0,96.0,0.9571897005546965,0.8507602075665202,0.0,0.0,0.8450980400142568,1.8512583487190752,2.404833716619938,96.0,0.006944444444444444,0.06804138174397716,0.0,0.0,0.0,0.0,0.6666666666666666,96.0,0.010416666666666666,0.10206207261596574,0.0,0.0,0.0,0.0,1.0,96.0,0.09375,0.9185586535436918,0.0,0.0,0.0,0.0,9.0,96.0,0.04252677046114503,0.4166755521530777,0.0,0.0,0.0,0.0,4.082569964269923,96.0,0.007134390955506929,0.007647907393740248,0.0,0.0,0.005470459518599562,0.01312910284463895,0.03282275711159737,96.0,0.6354166666666666,0.4838397226282506,0.0,0.0,1.0,1.0,1.0,96.0,3.90625,3.8445535638436823,0.0,0.0,3.5,7.0,16.0,96.0,0.02597734770875941,0.028838047382104194,0.0,0.0,0.014959165880824868,0.04577135221366047,0.09433962264150944,96.0,0.05276902427637722,0.01876794134931081,0.004201680672268907,0.04201680672268908,0.05322128851540616,0.06862745098039216,0.0938375350140056,96.0,0.05073736366148241,0.0,0.05073736366148241,0.05073736366148241,0.05073736366148241,0.05073736366148241,0.05073736366148241,96.0,654.0,0.0,654.0,654.0,654.0,654.0,654.0,96.0,0.21183646416455382,0.10406430449670472,0.08231707317073171,0.14788047350249356,0.1974025974025974,0.24104651162790697,0.6666666666666666,96.0,0.00036938534278959805,0.002597147987074742,0.0,0.0,0.0,0.0,0.02127659574468085,96.0,0.020833333333333332,0.14357588616379596,0.0,0.0,0.0,0.0,1.0,96.0,0.08333333333333333,0.5163977794943223,0.0,0.0,0.0,0.0,4.0,96.0,0.012702247310456266,0.07205987553642594,0.0,0.0,0.0,0.0,0.46153846153846156
